root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940640620376,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940633820130,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940630176211,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940617223867,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940616875532,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940611235534,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,right,
720575940617608377,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940612616883,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940637005801,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,right,
720575940609544917,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940620152144,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940621354155,intrinsic,optic,optic_lobe_intrinsic,y_neuron,,right,
720575940639645859,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,right,
720575940632872670,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,right,
720575940637633758,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940615204862,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940634054355,intrinsic,optic,optic_lobe_intrinsic,medulla_lobula_tangential,,right,
720575940622320874,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940614587538,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940646544675,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,left,
720575940636838062,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,right,
720575940633458084,intrinsic,optic,optic_lobe_intrinsic,medulla_lobula_tangential,,left,
720575940611928037,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940607019906,intrinsic,optic,optic_lobe_intrinsic,distal_medulla_dorsal_rim_area,,left,
720575940634153497,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940630173228,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940640947408,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940618370260,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,left,
720575940618448017,intrinsic,optic,optic_lobe_intrinsic,medulla_lobula_tangential,,left,
720575940619863120,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940624293895,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
